Spec id,Ref alloc,Unsigned LLOD,ref1,ref2,LLOD (ref1 - ref2),ref1,ref2,Sum likelihoods,ref1,ref2
Pop_2_BaseInd_230,ref2,6.163617173,-25.39071778,-19.22710061,-6.163617173,4.067075E-26,5.927880E-20,5.92788E-20,0.00000069,0.99999931
Pop_2_BaseInd_248,ref1,5.251658027,-22.3082941,-27.55995213,5.251658027,4.917064E-23,2.754532E-28,4.91709E-23,0.99999440,0.00000560
Pop_2_BaseInd_270,ref2,6.013803543,-27.76635574,-21.7525522,-6.013803543,1.712554E-28,1.767860E-22,1.76786E-22,0.00000097,0.99999903
Pop_2_BaseInd_289,ref2,3.921508248,-25.82153036,-21.90002211,-3.921508248,1.508237E-26,1.258861E-22,1.25901E-22,0.00011980,0.99988020
Pop_2_BaseInd_290,ref2,4.51738887,-26.24001646,-21.72262759,-4.51738887,5.754181E-27,1.893967E-22,1.89402E-22,0.00003038,0.99996962
Pop_2_BaseInd_328,ref2,6.075212544,-24.26531931,-18.19010677,-6.075212544,5.428511E-25,6.454955E-19,6.45496E-19,0.00000084,0.99999916
Pop_2_BaseInd_379,ref1,0.218807278,-23.87454411,-24.09335139,0.218807278,1.334922E-24,8.065822E-25,2.1415E-24,0.62335718,0.37664282
Pop_2_BaseInd_392,ref2,7.465934096,-26.01749881,-18.55156471,-7.465934096,9.605085E-27,2.808247E-19,2.80825E-19,0.00000003,0.99999997
Pop_2_BaseInd_408,ref2,5.016976102,-23.05648721,-18.03951111,-5.016976102,8.780369E-24,9.130381E-19,9.13047E-19,0.00000962,0.99999038
Pop_2_BaseInd_443,ref2,3.339615933,-24.20141541,-20.86179947,-3.339615933,6.289043E-25,1.374677E-21,1.37531E-21,0.00045728,0.99954272
Pop_2_BaseInd_456,ref2,6.515411587,-27.29416081,-20.77874923,-6.515411587,5.079713E-28,1.664373E-21,1.66437E-21,0.00000031,0.99999969
